position	var_name	gene_symbol	marker_name	ensembl_gene_id	highly_variable
31225	BX469926.2	BX469926.2	bx469926.2	ENSDARG00000116772	0
31226	CABZ01035279.1	CABZ01035279.1	cabz01035279.1	ENSDARG00000116774	0
31227	LO018004.1	LO018004.1	lo018004.1	ENSDARG00000116778	0
31228	BX511311.10	BX511311.10	bx511311.10	ENSDARG00000116780	0
31229	hist1h4l-23	si:ch211-113a14.6	si:ch211-113a14.6	ENSDARG00000116781	0
31230	BX323017.1	BX323017.1	bx323017.1	ENSDARG00000116784	0
31231	CR352310.2	CR352310.2	cr352310.2	ENSDARG00000116789	0
31232	CABZ01065417.1	CABZ01065417.1	cabz01065417.1	ENSDARG00000116796	0
31233	CU694266.1	CU694266.1	cu694266.1	ENSDARG00000116800	0
31234	nanos2	nanos2	nanos2	ENSDARG00000116802	0
31235	CABZ01037174.1	CABZ01037174.1	cabz01037174.1	ENSDARG00000116804	0
31236	CU693479.1	ppp1r27a	ppp1r27a	ENSDARG00000116806	0
31237	AL935299.1	AL935299.1	al935299.1	ENSDARG00000116807	0
31238	CU570894.2	CU570894.2	cu570894.2	ENSDARG00000116814	0
31239	znf1024	znf1024	znf1024	ENSDARG00000116815	0
31240	CR925768.15	CR925768.15	cr925768.15	ENSDARG00000116816	0
31241	zgc:174356-1	zgc:174356-1	zgc:174356-1	ENSDARG00000116818	0
31242	BX511056.6	BX511056.6	bx511056.6	ENSDARG00000116823	0
31243	CT030029.1	CT030029.1	ct030029.1	ENSDARG00000116824	0
31244	CU467652.1	CU467652.1	cu467652.1	ENSDARG00000116825	0
31245	BX571711.20	BX571711.20	bx571711.20	ENSDARG00000116826	0
